Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
76871.0,1.291299565,0.082376811,0.043888921,0.409227642,-0.098770383,-0.426758775,-0.004760265,-0.085081166,0.270144563,-0.043057753,-1.294944465,-0.520441177,-0.553081034,0.391911716,1.223865657,0.648717702,-0.728860666,-0.080469186,0.261253711,-0.085838776,-0.323461233,-1.027441767,0.007373037,-0.643004196,0.309196358,0.157728629,-0.04116534,0.010231223,22.13,0
68338.0,-0.483154512,-0.016122598,1.979677751,-1.079068224,-0.107174859,0.609597645,-0.539064416,0.321502283,-1.669045759,0.44020862,0.943855686,-0.320477516,0.573430478,-0.219430369,0.969791161,1.018942528,0.263293443,-0.680967565,1.877965673,0.373368962,0.184584713,0.390672574,-0.258331828,-0.79463568,0.071684843,-0.090176151,0.100443923,0.065281886,5.57,0
63847.0,-0.319180929,0.418794497,2.891111461,2.56851208,-1.057169562,1.084644733,-0.519522366,0.511748122,0.173915556,0.171165172,-1.02175927,-0.318626046,-1.116229837,-0.702898716,-0.573006863,-0.939811335,1.230151346,-0.682888904,1.141425517,0.067860465,-0.01118841,0.331247134,0.07602367,0.455849283,-0.880763607,1.14891834,0.169697289,0.156988847,25.33,0
36383.0,1.122934432,-0.049061308,0.763283838,0.789077311,-0.624052924,-0.367947457,-0.145882405,-0.005429093,0.46880125,-0.286680734,-0.071029555,0.85500937,0.225141782,-0.13494354,0.06565715,-0.579528954,0.3895482,-1.340379829,-0.235244284,-0.093360177,-0.238055187,-0.515728582,0.130463302,0.445307701,0.201570035,0.292310137,-0.008146856,0.019618491,26.68,0
71890.0,0.059392935,-1.837391158,0.634115075,2.149905585,-1.218176541,0.792888551,0.174666976,0.141334047,1.172546562,-0.665954614,-1.080876257,1.062331383,-0.063138167,-0.644787835,-1.649297771,-1.082118703,0.783839852,-1.259082348,0.005014723,0.87374435,-0.094219805,-0.9892714,-0.38227969,0.111678295,0.235596961,-0.566424007,-0.007779274,0.120965842,538.85,0
83975.0,1.205344525,-0.294306995,-0.172585841,-0.021268421,1.406188542,3.944829306,-1.303068816,1.087584064,0.564243394,-0.005398857,-0.244174945,0.046215458,0.249850105,-0.034973352,1.761755256,1.086904813,-1.270189914,1.039754826,-0.419539072,0.036542174,0.20438952,0.491523084,-0.112467774,1.013997598,0.528378279,-0.240060274,0.078306427,0.038132018,14.99,0
46955.0,-1.233919366,-1.007366881,0.849745567,0.041448574,2.290422657,1.541814881,0.086449057,0.64794948,0.164118964,-0.485118254,0.688516834,0.214161657,-1.67728315,0.242707672,-0.53174628,-0.931184767,0.20225868,-1.452549464,-1.923187018,0.094505433,0.137447314,0.258399484,0.241939713,-1.940166283,0.009662172,-0.453429396,-0.161244921,-0.232821119,96.6,0
154759.0,2.060866277,0.136379036,-1.830917274,0.20644515,0.70499457,-0.326118457,0.107436866,-0.093284486,0.18466778,-0.223117037,0.874743033,0.975834883,0.547735367,-0.770674785,-0.5224163,0.600599476,0.055221056,0.250623626,0.483210532,-0.101952655,-0.332737371,-0.861057423,0.274815141,0.113351693,-0.220002591,0.176279368,-0.063592475,-0.043560528,0.99,0
57481.0,1.256298158,0.392580288,0.31705268,0.688491828,-0.324347869,-1.060589923,0.123303112,-0.23427889,-0.048489882,-0.298462141,0.025232246,0.519375965,0.760531337,-0.393844667,1.035302152,0.45342145,-0.03574751,-0.364802422,-0.202148996,-0.04611398,-0.281328784,-0.786204276,0.122787523,0.360017103,0.234089155,0.092590678,-0.019614398,0.03200671,1.98,0
117133.0,0.316498343,-3.180059716,-1.861250148,0.539767141,-0.245426075,2.087609774,0.309721691,0.400039497,0.835011025,-0.402224027,0.718382686,1.004288406,-0.293757575,0.365732792,0.139510362,-0.24980054,0.110332195,-1.217541724,-0.506693431,1.391876436,0.13918376,-1.271068475,-0.209310665,-0.935940176,-1.07676224,0.140894887,-0.159712416,0.0735701,822.99,0
51174.0,-0.72686279,1.127876848,0.884640957,0.787082337,-0.257948657,-0.043134834,0.229207556,0.545296458,-0.359044927,-0.369545606,-1.058538017,-1.083824389,-1.986493393,1.009098103,1.620737362,-0.107986207,0.18351551,-0.105305486,0.304051224,-0.293454729,-0.067550844,-0.423473825,0.146473095,-0.378979656,-0.652611543,-0.587079799,-0.056621356,0.08583136,35.45,0
20642.0,1.291095836,-0.226628215,0.708385756,-0.719236307,-0.659099195,-0.273756517,-0.612041581,-0.111488488,3.032257572,-1.478964973,-0.094403102,-1.584022485,2.609250062,1.066208435,0.50272458,-0.266145553,0.233377414,0.631159087,0.660224025,-0.067054709,-0.202303564,-0.060995306,-0.146459483,-0.468475064,0.614721187,-0.677037497,0.069635153,0.023892438,10.6,0
36299.0,-2.408342101,-2.260689733,2.099413803,0.375427362,1.395419161,-0.308134745,-0.89092726,-0.240880389,0.752416275,0.528991707,1.183653406,0.487831612,-0.024820201,-0.661256034,0.735539842,-0.034148511,-0.330870569,0.157993729,0.991054085,-0.673104224,-0.142076278,0.765844041,-0.848440399,-0.086885907,-0.735010089,1.134776801,0.075000761,-0.456538076,186.0,0
52187.0,-0.836237803,1.157426387,1.532166296,1.489908368,-0.337317736,-0.283621232,0.226013333,0.490198943,-0.63249176,-0.566824849,-0.350373494,0.269487671,-0.554061497,0.469627755,0.222292662,-1.231862334,1.040093494,-0.763320753,0.585322984,-0.12225884,0.066296137,0.253719609,-0.119217659,0.62530838,0.060519707,-0.221448325,0.025612637,0.039267506,6.87,0
